全表适应度排名,来源文件,文件修改时间,文件内序号,实例,算法,运行类别,运行条件备注,原始备注,预算G,预算T_MAX,预算说明,run_seed,迭代次数,适应度值,运行时间_秒,运行时间_分钟,最快最佳结果时间_秒,最快最佳结果时间_分钟,宽高比是否满足,gbest更新次数,开始时间,最快时间,结束时间,读取编码
231,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,79,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=40000，G/T未显式记录,,40000,7421461.4812915195,8880.89693,148.01494883333334,8303.249039,138.38748398333334,True,205,2026-04-10 23:34:33.466191,2026-04-11 01:52:56.715230,2026-04-11 02:02:34.363121,utf-8-sig
223,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,80,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=40000，G/T未显式记录,,40000,7416804.264484808,9658.457918,160.97429863333335,9098.651376,151.6441896,True,266,2026-04-11 02:02:34.657372,2026-04-11 04:34:13.308748,2026-04-11 04:43:33.115290,utf-8-sig
215,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,81,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=100000，G/T未显式记录,,100000,7411022.752015866,69461.995944,1157.6999323999999,32872.946143,547.8824357166667,True,213,2026-04-10 12:08:09.028530,2026-04-10 21:16:01.974673,2026-04-11 07:25:51.024474,utf-8-sig
128,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,82,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=40000，G/T未显式记录,,40000,7363530.778851854,10941.710303,182.36183838333332,9062.684842,151.04474736666668,True,280,2026-04-11 04:43:33.214867,2026-04-11 07:14:35.899709,2026-04-11 07:45:54.925170,utf-8-sig
303,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,83,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=40000，G/T未显式记录,,40000,7494773.785713758,6818.117611,113.63529351666666,2534.239,42.237316666666665,True,274,2026-04-11 07:45:55.147397,2026-04-11 08:28:09.386397,2026-04-11 09:39:33.265008,utf-8-sig
219,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,84,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=40000，G/T未显式记录,,40000,7413791.898051938,10948.865714,182.48109523333332,9522.32086,158.70534766666665,True,227,2026-04-11 09:45:48.740920,2026-04-11 12:24:31.061780,2026-04-11 12:48:17.606634,utf-8-sig
193,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,85,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7400248.991506306,23650.832167,394.1805361166667,22924.076671,382.06794451666667,True,218,2026-04-11 14:01:37.259187,2026-04-11 20:23:41.335858,2026-04-11 20:35:48.091354,utf-8-sig
108,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,86,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7325044.912104949,18723.789669,312.06316115000004,18676.179803,311.2696633833333,True,262,2026-04-11 20:47:41.391424,2026-04-12 01:58:57.571227,2026-04-12 01:59:45.181093,utf-8-sig
200,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,87,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=100000，G/T未显式记录,,100000,7404485.614841442,67214.329388,1120.2388231333332,15825.572497,263.75954161666664,True,144,2026-04-11 07:25:51.305884,2026-04-11 11:49:36.878381,2026-04-12 02:06:05.635272,utf-8-sig
177,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,88,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7395074.716313148,18955.295393,315.92158988333335,18951.525056,315.8587509333333,True,258,2026-04-12 01:59:45.542688,2026-04-12 07:15:37.067744,2026-04-12 07:15:40.838081,utf-8-sig
